observed,label,object_type,object_category,timestep,x,y,heading,velocity_x,velocity_y,scenario_id,start_timestamp,end_timestamp,num_timestamps,focal_track_id,city
true,53990,vehicle,1,0,12343.968382510331,3648.393753303849,-2.6382561836022353,-0.000000017568046692490125,-0.000000008722512269662458,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,1,12343.968225755378,3648.3938283019434,-2.638256911825179,-0.000000007881637755503516,-0.000000004075196327196715,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,2,12343.968302257972,3648.3927436823515,-2.6382460926714857,0.000000004665709984877318,0.000000001974712023104362,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,3,12343.967390821927,3648.3930594407493,-2.638282215661405,0.00000000803457118975714,0.000000003656669655113363,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,4,12343.965871194527,3648.3948032644885,-2.638308416410695,0.000000007543173627857727,0.000000003487882055995625,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,5,12343.96498478703,3648.395075327679,-2.6382596958870703,0.00000000551925173658595,0.000000002567435746509512,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,6,12343.964142220975,3648.3942896110975,-2.638175396776343,0.0000000034694053724980203,0.00000000161999104168275,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,7,12343.96249352138,3648.394344697231,-2.6381037307794397,0.0000000017415761342246509,0.0000000008169080152888403,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,8,12343.960527327556,3648.395300611481,-2.638045796200484,0.00000000066591132164046,0.00000000031422471447211964,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,9,12343.958839424042,3648.396393024033,-2.6379982129828967,0.00000000016423408040987925,0.00000000007842956581223082,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,10,12343.95759377131,3648.3972223066758,-2.637970573353905,-0.00000000003200984033186623,-0.000000000014794711792957385,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,11,12343.956697822185,3648.398510120047,-2.6379893992130916,-0.00000000009594714419800147,-0.00000000004593484183974712,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,12,12343.954707166218,3648.3996030237595,-2.6380384891940705,-0.00000000009136516252732992,-0.00000000004448905315000782,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,13,12343.951797587697,3648.4004011773313,-2.6380928101609418,-0.00000000006411852134625715,-0.000000000031841191939433984,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,14,12343.949499203001,3648.402148187118,-2.6381744122161694,-0.00000000003760061950337153,-0.00000000001926173402855602,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,15,12343.948354535569,3648.4045999092696,-2.638290450277184,-0.00000000001518363808944706,-0.000000000008508820927073899,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,16,12343.948427157055,3648.407078719291,-2.638448854429063,-0.0000000000003884326698990604,-0.0000000000014272616609855146,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,17,12343.948662029368,3648.4095112168993,-2.638666674335759,0.000000000006795891489924054,0.000000000001991230656166742,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,18,12343.949055064164,3648.4117776315306,-2.638899096612569,0.000000000007861202789377786,0.0000000000025422282487859113,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,19,12343.950058267337,3648.412365450956,-2.639121323118156,0.000000000007329292380298966,0.000000000002320680223643125,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,20,12343.950918041422,3648.41244864279,-2.6393949311588156,0.000000000006132415638675299,0.0000000000018696907538064193,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,21,12343.951227824422,3648.4136698856546,-2.6397028574831096,0.0000000000043223969731385586,0.0000000000012238853834613017,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,22,12343.951834431124,3648.4134095216286,-2.6399542647181113,-0.000000036839629448871,-0.00000001820305151654688,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,23,12343.95283823852,3648.410783041413,-2.640163011493222,-0.00000008475342782942819,-0.00000004196408431945185,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,24,12343.952928236295,3648.4084571089697,-2.6404230998235665,-0.00000009392782662770501,-0.00000004660559758440025,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,25,12343.952674849324,3648.4073619847954,-2.64071401434303,-0.00000008161634608664318,-0.00000004052843421276525,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,26,12343.952169541863,3648.4068798572116,-2.6409824729268334,-0.0000000580051608350042,-0.000000028867086557124593,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,27,12343.950890057542,3648.4066251286795,-2.6412136765493743,-0.000000029550143591260237,-0.000000014838122740890735,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,28,12343.949474485156,3648.4061986011066,-2.641442226093362,-0.00000000853318773276655,-0.000000004412027259091179,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
true,53990,vehicle,1,29,12343.947608115515,3648.406099350689,-2.641695090957066,-0.0000000005325516434443412,-0.0000000003648386064386799,ffe36caf-5667-44e1-b98c-8e44dacd5379,315972909209887500,315972920109887500,110,54002,dearborn
